Date,AXP,BA,CAT,CSCO,CVX,DIS,HD,IBM,JNJ,KO,MCD,MMM,MRK,MSFT,PG,TRV,VZ,WMT
2014-08-29,76.66094207763672,110.2588119506836,82.20217895507812,17.891719818115234,81.7823257446289,81.3616714477539,72.3970718383789,117.06490325927734,76.92201232910156,29.501070022583008,71.22122955322266,84.65666961669922,40.89344024658203,38.617431640625,61.50384521484375,74.11698913574219,28.817249298095703,20.3835506439209
2014-09-02,76.80648040771484,109.11100006103516,82.0891342163086,17.812963485717773,80.57564544677734,82.19447326660156,70.93405151367188,116.6143569946289,76.64761352539062,29.444486618041992,70.5220947265625,84.7860107421875,40.67574691772461,38.32844161987305,61.40761947631836,73.96829986572266,28.78834342956543,20.45104217529297
2014-09-03,77.16603088378906,109.5110092163086,81.74246215820312,17.92751693725586,80.77780151367188,82.32120513916016,69.26090240478516,116.85182189941406,76.94424438476562,29.543506622314453,70.78047180175781,84.55082702636719,41.14515686035156,38.21792221069336,61.348426818847656,73.92916870117188,28.85196304321289,20.521244049072266
2014-09-04,76.74652862548828,109.09362030029297,82.0137710571289,17.834436416625977,80.10813903808594,81.59701538085938,69.98464965820312,116.07868957519531,77.00354766845703,29.60712432861328,70.68163299560547,84.4273681640625,40.87302780151367,38.47293472290039,61.94045639038086,73.76483154296875,28.759418487548828,20.66973114013672
2014-09-05,76.71234130859375,108.42404174804688,81.80274963378906,17.898880004882812,80.4872055053711,82.32120513916016,71.29204559326172,116.39521026611328,77.43367004394531,29.58592414855957,70.72724151611328,84.77426147460938,41.621376037597656,39.02547073364258,61.99222946166992,73.72570037841797,28.88666534423828,20.926204681396484
2014-09-08,76.13018035888672,111.28486633300781,81.32794952392578,17.863079071044922,79.73538208007812,81.97720336914062,70.67726135253906,115.74993896484375,77.15928649902344,29.543506622314453,70.29411315917969,85.17991638183594,41.53293991088867,39.501502990722656,61.65923309326172,73.41873168945312,28.649511337280273,20.661619186401367
2014-09-09,75.24844360351562,111.48487854003906,80.9435806274414,17.798646926879883,79.08467102050781,81.10820770263672,69.2064208984375,115.65865325927734,76.9738998413086,29.65663719177246,69.22257995605469,84.92710876464844,41.199581146240234,39.74800491333008,61.415035247802734,73.08810424804688,28.28510856628418,20.718320846557617
2014-09-10,75.6850357055664,111.49356842041016,79.835693359375,17.848766326904297,78.51608276367188,81.03578186035156,69.4554672241211,116.60218048095703,77.85635375976562,29.81926918029785,70.67405700683594,85.03291320800781,41.33563232421875,39.81599807739258,61.896053314208984,73.34000396728516,28.198339462280273,20.656227111816406
2014-09-11,75.6935806274414,110.98922729492188,79.57942199707031,18.027751922607422,78.23179626464844,81.44313049316406,69.43209075927734,116.71180725097656,77.53005981445312,29.87982940673828,70.64366149902344,84.8624267578125,41.18488311767578,39.9520263671875,61.78504180908203,73.14320373535156,28.34872817993164,20.5455379486084
2014-09-12,75.02586364746094,110.38925170898438,79.14982604980469,18.013429641723633,77.49263000488281,81.17156982421875,69.13638305664062,116.44393157958984,77.55229949951172,29.530799865722656,70.93240356445312,84.62139892578125,40.807987213134766,39.69700241088867,61.614830017089844,72.74960327148438,27.99588966369629,20.45644187927246
2014-09-15,74.80329132080078,109.83271026611328,79.02926635742188,17.94183349609375,78.4908218383789,81.54270935058594,69.55663299560547,116.76657104492188,77.65613555908203,29.55929946899414,71.0312271118164,84.9388656616211,40.787410736083984,39.30598831176758,62.06625747680664,73.63912200927734,28.088436126708984,20.467241287231445
