Date,AAPL,ABT,ACN,AXP,BAC,COST,CSCO,CVX,DIS,GE,HD,IBM,INTU,JNJ,JPM,KO,LIN,LLY,MCD,MRK,MS,MSFT,NVDA,ORCL,PG,T,UNH,WFC,WMT,XOM
2005-01-03,0.9510650634765625,13.946531295776367,18.52401351928711,36.09559631347656,29.331449508666992,32.3218994140625,12.719847679138184,23.404888153076172,22.241291046142578,105.60742950439453,26.19013786315918,50.57710266113281,18.992599487304688,35.0069694519043,22.585988998413086,11.178993225097656,29.835742950439453,30.729389190673828,18.199970245361328,14.274895668029785,30.00897979736328,18.485227584838867,0.18017816543579102,10.791701316833496,31.317230224609375,4.485110759735107,34.10133743286133,17.534618377685547,11.765463829040527,25.327157974243164
2005-01-04,0.9608328342437744,13.806085586547852,18.088485717773438,35.55328369140625,28.927387237548828,31.7415828704834,12.219482421875,23.24396324157715,22.0017032623291,104.33753967285156,25.855934143066406,50.03384017944336,18.36836814880371,34.895668029785156,22.35319709777832,11.022911071777344,29.408361434936523,30.31966209411621,18.348682403564453,14.21552562713623,29.686870574951172,18.554357528686523,0.1716965287923813,10.510040283203125,30.925697326660156,4.437788486480713,33.750953674316406,17.548782348632812,11.73679256439209,25.15523910522461
2005-01-05,0.9692479372024536,13.647703170776367,18.018232345581055,35.22330856323242,28.592798233032227,31.863035202026367,12.226066589355469,23.395694732666016,21.88191032409668,103.70252990722656,25.618959426879883,49.93035125732422,18.160287857055664,34.873416900634766,22.399757385253906,10.971776962280273,28.811372756958008,30.63652992248535,18.205690383911133,14.311422348022461,29.51509666442871,18.51287841796875,0.17330114543437958,10.542231559753418,31.249130249023438,4.458822250366211,33.86907196044922,17.5686092376709,11.752235412597656,25.023784637451172
2005-01-06,0.969998836517334,13.955497741699219,17.856664657592773,35.04215621948242,28.548601150512695,32.3218994140625,12.410409927368164,23.786542892456055,21.913856506347656,104.5395278930664,25.236114501953125,49.77512741088867,18.045183181762695,34.97359085083008,22.527788162231445,11.063271522521973,29.096302032470703,30.882347106933594,18.348682403564453,14.41188907623291,30.21295928955078,18.492128372192383,0.17162038385868073,10.638801574707031,31.402341842651367,4.483358383178711,34.61708450317383,17.630918502807617,11.91983699798584,25.342329025268555
2005-01-07,1.0406262874603271,14.194561958312988,18.692602157592773,34.78334426879883,28.239253997802734,32.045230865478516,12.324823379516602,23.51983642578125,21.69823455810547,103.90458679199219,25.169260025024414,49.557804107666016,18.270971298217773,34.845584869384766,22.347383499145508,11.076730728149414,29.08953094482422,30.734853744506836,18.22856903076172,14.21552562713623,30.09485626220703,18.436830520629883,0.16833406686782837,10.727322578430176,31.731462478637695,4.47088098526001,34.34150314331055,17.608259201049805,11.906608581542969,25.175474166870117
2005-01-10,1.0362684726715088,14.33202838897705,18.93846893310547,34.854530334472656,28.592798233032227,32.105960845947266,12.324823379516602,23.6256103515625,21.78607749938965,103.64481353759766,25.400177001953125,49.5060920715332,18.332944869995117,35.11827850341797,22.271728515625,11.138628959655762,28.98775291442871,31.106334686279297,18.114173889160156,14.384485244750977,30.08951759338379,18.526704788208008,0.1687164455652237,10.614659309387207,31.981143951416016,4.4387946128845215,34.48716735839844,17.5969295501709,11.847061157226562,25.271541595458984
2005-01-11,0.9701485633850098,14.06905460357666,18.615331649780273,34.531009674072266,28.523365020751953,31.930511474609375,12.272150993347168,23.63479995727539,21.730173110961914,102.17280578613281,25.345491409301758,49.15424728393555,17.961063385009766,34.99584197998047,22.05640411376953,11.076730728149414,28.913129806518555,31.155487060546875,17.78815460205078,14.233798027038574,29.76738739013672,18.47830581665039,0.16352015733718872,10.622706413269043,31.947093963623047,4.39422607421875,34.45173263549805,17.562936782836914,11.81839370727539,25.205820083618164
2005-01-12,0.9836739897727966,14.102106094360352,18.538057327270508,34.453372955322266,28.44759178161621,32.07219314575195,12.463081359863281,24.136005401611328,22.137470245361328,102.98098754882812,25.64324378967285,49.26288986206055,17.86366844177246,35.240726470947266,22.1087646484375,11.076730728149414,29.062387466430664,31.565217971801758,17.925426483154297,14.192692756652832,29.821340560913086,18.51287841796875,0.16214478015899658,10.848034858703613,32.066253662109375,4.4227495193481445,34.68006134033203,17.327863693237305,11.926451683044434,25.579986572265625
2005-01-13,1.048891544342041,13.831660270690918,18.39054298400879,34.21399688720703,28.09404754638672,32.21392822265625,12.3643217086792,23.938278198242188,22.16142463684082,101.68215942382812,25.357650756835938,48.8696403503418,17.34568977355957,34.4893913269043,21.980745315551758,10.963706016540527,28.61463737487793,30.822263717651367,17.668039321899414,13.996334075927734,29.940013885498047,18.160314559936523,0.16382640600204468,10.848034858703613,31.51015853881836,4.355009078979492,34.80210494995117,17.17491912841797,11.82941722869873,25.559751510620117
2005-01-14,1.0549017190933228,13.89777660369873,18.467811584472656,34.11045837402344,28.340272903442383,32.57155990600586,12.43016529083252,24.04863739013672,22.600656509399414,102.51921081542969,25.460954666137695,48.688560485839844,17.58917808532715,34.895668029785156,22.00402069091797,11.025604248046875,28.621423721313477,31.275691986083984,17.908267974853516,14.09679889678955,30.247514724731445,18.056621551513672,0.16436101496219635,10.968751907348633,31.708757400512695,4.351443290710449,35.258792877197266,17.189083099365234,11.906608581542969,25.82267951965332
