Date,AXP,BA,CAT,CSCO,CVX,DIS,HD,IBM,JNJ,KO,MCD,MMM,MRK,MSFT,PG,TRV,VZ,WMT
2010-01-05,-0.002200071373201995,0.032751764265373184,0.011955954629684129,-0.004455511125342704,0.007083464359366909,-0.0024944869950317416,0.007324729048465484,-0.012080037773255836,-0.011595694038062931,-0.01209707460815368,-0.007645399309969103,-0.00626342034239058,0.004052885040495058,0.0003226102273523601,0.0003272098761950559,-0.023690000842685133,0.0018031204974824355,-0.009958278166267265
2010-01-06,0.01616541906844815,0.03033425152779512,0.0030376977055655008,-0.006509394122722778,0.0001250069571794299,-0.0053141186290397435,-0.0034626126272891966,-0.0064957236686472575,0.008133864850810468,-0.00035464612428026676,-0.013643965941739666,0.014181166439874549,0.013455652286873176,-0.006136817867795519,-0.004743431826764177,-0.014189025407163491,-0.028753999387584384,-0.0022347984311714697
2010-01-07,0.01621859481235388,0.04048208719048696,0.004038377510372948,0.004504537636556671,-0.003767075185042268,0.00031426935440470594,0.01181418985804683,-0.0034616385110023407,-0.007137120781979922,-0.0024854630760233754,0.007323071268077852,0.0007176994228372813,0.0015935796429151772,-0.010399874234463424,-0.005422969379459741,0.01439325162009264,-0.005952126056315121,0.0005598768196830584
2010-01-08,-0.0007148689921671059,-0.009646424483288785,0.011228774617544124,0.005299596752097013,0.0017651512684040416,0.0015707138101352935,-0.004808098127143223,0.010034568529834642,0.0034380196812560104,-0.01850855970221832,-0.0009692611638484339,0.007046485799332869,-0.0005307893572056299,0.006896753905222042,-0.0013222111191744101,-0.001439642485219328,0.000630298459431522,-0.005037554281146495
2010-01-11,-0.011442236543166007,-0.011850820845829224,0.06281020185747654,-0.002838188037975531,0.017741822556654574,-0.0163108347246953,-0.028295409505116664,-0.01046965326692284,0.0001558438563580289,0.02030847663064894,0.007762269276819778,-0.00403234678806097,0.003978883957400869,-0.01272021880886598,-0.003970597512976459,-0.0004123541250795615,0.004094359317934559,0.01650118964507774
2010-01-12,0.013262874728927843,-0.007228452690183684,-0.029470957346854676,-0.015860521053228105,-0.005810583282328419,-0.017219613122097854,-0.0063920033177277125,0.007954730811697841,0.005294053661062614,0.010840055469833354,0.005455461976085596,0.0008334274150130216,-0.00792640627568586,-0.006607066565116004,0.011461708096687673,0.006386402732333263,0.0009408612729846499,0.009592649881031923
2010-01-13,0.0030939125095350573,0.012080268764735225,0.0014458381882578308,0.01818189218598043,-0.007586074478049154,0.015249915646676548,0.005360593393000546,-0.0021452047888199655,0.0063507048431545865,0.0026371552601409665,-0.0011170891108495118,-0.003212480676448526,0.036751119603029236,0.009311651142596356,0.010346881538381147,0.003480451531116424,-0.0012532795205131286,0.005115536216258487
2010-01-14,0.012573680600835635,0.006539985432191697,-0.005615079593397576,0.012580982639128102,-0.0031329391869864276,-0.008629069190118077,0.006043738598260795,0.015971703739898313,0.002000892696075507,0.0017536934357584855,0.0009588539372724636,-0.0033421045450198195,0.027228231845315642,0.0200985238021536,0.000975052340587812,0.0053038259799389476,-0.020395544000426535,-0.014542648041179995
2010-01-15,-0.006794615679967975,-0.012020590686000476,-0.02339209954658772,-0.022043788467134284,-0.004022519631618593,-0.013539578576507671,0.009540621313333109,-0.004006266591415675,-0.008294923352461292,-0.014703419497562487,-0.0059060178371816985,-0.0015568540857600066,-0.01300317303862053,-0.003229908464431941,-0.012341580754276715,-0.009942692980181578,-0.02049960345295221,-0.00977668135767007
2010-01-19,0.013446771947776659,-0.0027953499427351147,0.013473234630628106,0.01844230179227324,0.005679628665506087,0.013398760757165284,0.01085055082861941,0.017909319990874417,0.012236782612885522,0.002309771938494576,0.019267779824225117,0.02099059288011862,0.02913583720712709,0.00777701436391065,0.014797565660199297,0.01311686168907955,0.021255632991430407,0.006520312918177451
